date,state,manufacturer,vehicle_type,vehicle_category,sales_amount,price_range,battery_capacity,charging_time,market_share
2022-06-01,New York,Volkswagen,Electric,SUV,1451,45000-55000,77,35.0,0.03
2022-06-01,New York,Kia,Electric,SUV,1330,38000-48000,64,30.0,0.03
2022-06-01,New York,Audi,Electric,SUV,1088,65000-75000,95,40.0,0.03
2022-06-01,New York,Mercedes,Electric,Sedan,967,75000-85000,90,35.0,0.02
2022-06-01,New York,Rivian,Electric,Truck,846,70000-80000,135,50.0,0.02
2022-06-01,Texas,Tesla,Electric,SUV,8105,85000-95000,100,60.0,0.22
2022-06-01,Texas,Ford,Electric,Truck,4113,55000-65000,98,40.0,0.11
2022-06-01,Texas,BYD,Electric,Sedan,2782,45000-55000,60,35.0,0.08
2022-06-01,Texas,Nissan,Electric,Hatchback,2177,35000-45000,40,25.0,0.06
2022-06-01,Texas,Hyundai,Electric,SUV,1935,40000-50000,64,30.0,0.05
2022-06-01,Texas,Volkswagen,Electric,SUV,1693,45000-55000,77,35.0,0.05
2022-06-01,Texas,Kia,Electric,SUV,1451,38000-48000,64,30.0,0.04
2022-06-01,Texas,Rivian,Electric,Truck,1330,70000-80000,135,50.0,0.04
2022-06-01,Texas,Chevrolet,Electric,SUV,1088,40000-50000,65,30.0,0.03
2022-06-01,Texas,Audi,Electric,SUV,967,65000-75000,95,40.0,0.03
2022-06-01,Florida,Tesla,Electric,Sedan,6774,75000-85000,75,45.0,0.24
2022-06-01,Florida,BYD,Electric,Sedan,3387,45000-55000,60,35.0,0.12
2022-06-01,Florida,Nissan,Electric,Hatchback,2298,35000-45000,40,25.0,0.08
2022-06-01,Florida,Ford,Electric,Truck,1693,55000-65000,98,40.0,0.06
2022-06-01,Florida,Hyundai,Electric,SUV,1451,40000-50000,64,30.0,0.05
2022-06-01,Florida,Volkswagen,Electric,SUV,1209,45000-55000,77,35.0,0.04
2022-06-01,Florida,Kia,Electric,SUV,1088,38000-48000,64,30.0,0.04
2022-06-01,Florida,Chevrolet,Electric,SUV,846,40000-50000,65,30.0,0.03
2022-06-01,Florida,Audi,Electric,SUV,725,65000-75000,95,40.0,0.03
2022-06-01,Florida,Mercedes,Electric,Sedan,604,75000-85000,90,35.0,0.02
2022-06-01,Washington,Tesla,Electric,SUV,4113,85000-95000,100,60.0,0.26
2022-06-01,Washington,BYD,Electric,Sedan,2056,45000-55000,60,35.0,0.13
2022-06-01,Washington,Nissan,Electric,Hatchback,1330,35000-45000,40,25.0,0.08
2022-06-01,Washington,Hyundai,Electric,SUV,1088,40000-50000,64,30.0,0.07
2022-06-01,Washington,Volkswagen,Electric,SUV,967,45000-55000,77,35.0,0.06
2022-06-01,Washington,Ford,Electric,Truck,846,55000-65000,98,40.0,0.05
2022-06-01,Washington,Kia,Electric,SUV,725,38000-48000,64,30.0,0.05
2022-06-01,Washington,Audi,Electric,SUV,604,65000-75000,95,40.0,0.04
2022-06-01,Washington,Chevrolet,Electric,SUV,483,40000-50000,65,30.0,0.03
2022-06-01,Washington,Rivian,Electric,Truck,362,70000-80000,135,50.0,0.02
2022-06-01,Washington,Mercedes,Electric,Sedan,241,75000-85000,90,35.0,0.02
2022-06-01,Arizona,Tesla,Electric,Sedan,3387,75000-85000,75,45.0,0.25
2022-06-01,Arizona,BYD,Electric,Sedan,1693,45000-55000,60,35.0,0.12
2022-06-01,Arizona,Nissan,Electric,Hatchback,1088,35000-45000,40,25.0,0.08
2022-06-01,Arizona,Hyundai,Electric,SUV,846,40000-50000,64,30.0,0.06
2022-06-01,Arizona,Ford,Electric,Truck,725,55000-65000,98,40.0,0.05
2022-06-01,Arizona,Volkswagen,Electric,SUV,604,45000-55000,77,35.0,0.04
2022-06-01,Arizona,Kia,Electric,SUV,483,38000-48000,64,30.0,0.04
2022-06-01,Arizona,Chevrolet,Electric,SUV,362,40000-50000,65,30.0,0.03
2022-06-01,Arizona,Audi,Electric,SUV,241,65000-75000,95,40.0,0.02
2022-06-01,Arizona,Rivian,Electric,Truck,241,70000-80000,135,50.0,0.02
2022-06-01,Arizona,Mercedes,Electric,Sedan,120,75000-85000,90,35.0,0.01
2022-07-01,California,Tesla,Electric,Sedan,16034,75000-85000,75,45.0,0.28
2022-07-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-07-01,California,BYD,Electric,Sedan,8594,45000-55000,60,35.0,0.15
2022-07-01,California,Nissan,Electric,Hatchback,5772,35000-45000,40,25.0,0.1
2022-07-01,California,Ford,Electric,Truck,4104,55000-65000,98,40.0,0.07
2022-07-01,California,Volkswagen,Electric,SUV,3591,45000-55000,77,35.0,0.06
2022-07-01,California,Hyundai,Electric,SUV,3078,40000-50000,64,30.0,0.05
2022-07-01,California,Kia,Electric,SUV,2693,38000-48000,64,30.0,0.05
2022-07-01,California,Audi,Electric,SUV,2308,65000-75000,95,40.0,0.04
2022-07-01,California,Mercedes,Electric,Sedan,1924,75000-85000,90,35.0,0.03
2022-07-01,New York,Tesla,Electric,Sedan,11416,75000-85000,75,45.0,0.25
2022-07-01,New York,Ford,Electric,Truck,2693,55000-65000,98,40.0,0.06
2022-07-01,New York,Nissan,Electric,Hatchback,2308,35000-45000,40,25.0,0.05
2022-07-01,New York,Hyundai,Electric,SUV,2052,40000-50000,64,30.0,0.04
2022-07-01,New York,BYD,Electric,Sedan,1795,45000-55000,60,35.0,0.04
2022-07-01,New York,Volkswagen,Electric,SUV,1539,45000-55000,77,35.0,0.03
2022-07-01,New York,Kia,Electric,SUV,1411,38000-48000,64,30.0,0.03
2022-07-01,New York,Audi,Electric,SUV,1154,65000-75000,95,40.0,0.03
2022-07-01,New York,Mercedes,Electric,Sedan,1026,75000-85000,90,35.0,0.02
2022-07-01,New York,Rivian,Electric,Truck,897,70000-80000,135,50.0,0.02
2022-07-01,Texas,Tesla,Electric,SUV,8594,85000-95000,100,60.0,0.22
2022-07-01,Texas,Ford,Electric,Truck,4361,55000-65000,98,40.0,0.11
2022-07-01,Texas,BYD,Electric,Sedan,2950,45000-55000,60,35.0,0.08
2022-07-01,Texas,Nissan,Electric,Hatchback,2308,35000-45000,40,25.0,0.06
2022-07-01,Texas,Hyundai,Electric,SUV,2052,40000-50000,64,30.0,0.05
2022-07-01,Texas,Volkswagen,Electric,SUV,1795,45000-55000,77,35.0,0.05
2022-07-01,Texas,Kia,Electric,SUV,1539,38000-48000,64,30.0,0.04
2022-07-01,Texas,Rivian,Electric,Truck,1411,70000-80000,135,50.0,0.04
2022-07-01,Texas,Chevrolet,Electric,SUV,1154,40000-50000,65,30.0,0.03
2022-07-01,Texas,Audi,Electric,SUV,1026,65000-75000,95,40.0,0.03
2022-07-01,Florida,Tesla,Electric,Sedan,7183,75000-85000,75,45.0,0.24
2022-07-01,Florida,BYD,Electric,Sedan,3591,45000-55000,60,35.0,0.12
2022-07-01,Florida,Nissan,Electric,Hatchback,2437,35000-45000,40,25.0,0.08
2022-07-01,Florida,Ford,Electric,Truck,1795,55000-65000,98,40.0,0.06
2022-07-01,Florida,Hyundai,Electric,SUV,1539,40000-50000,64,30.0,0.05
2022-07-01,Florida,Volkswagen,Electric,SUV,1282,45000-55000,77,35.0,0.04
2022-07-01,Florida,Kia,Electric,SUV,1154,38000-48000,64,30.0,0.04
2022-07-01,Florida,Chevrolet,Electric,SUV,897,40000-50000,65,30.0,0.03
2022-07-01,Florida,Audi,Electric,SUV,769,65000-75000,95,40.0,0.03
2022-07-01,Florida,Mercedes,Electric,Sedan,641,75000-85000,90,35.0,0.02
2022-07-01,Washington,Tesla,Electric,SUV,4361,85000-95000,100,60.0,0.26
2022-07-01,Washington,BYD,Electric,Sedan,2180,45000-55000,60,35.0,0.13
2022-07-01,Washington,Nissan,Electric,Hatchback,1411,35000-45000,40,25.0,0.08
2022-07-01,Washington,Hyundai,Electric,SUV,1154,40000-50000,64,30.0,0.07
2022-07-01,Washington,Volkswagen,Electric,SUV,1026,45000-55000,77,35.0,0.06
2022-07-01,Washington,Ford,Electric,Truck,897,55000-65000,98,40.0,0.05
2022-07-01,Washington,Kia,Electric,SUV,769,38000-48000,64,30.0,0.05
2022-07-01,Washington,Audi,Electric,SUV,641,65000-75000,95,40.0,0.04
2022-07-01,Washington,Chevrolet,Electric,SUV,513,40000-50000,65,30.0,0.03
2022-07-01,Washington,Rivian,Electric,Truck,384,70000-80000,135,50.0,0.02
2022-07-01,Washington,Mercedes,Electric,Sedan,256,75000-85000,90,35.0,0.02
2022-07-01,Arizona,Tesla,Electric,Sedan,3591,75000-85000,75,45.0,0.25
2022-07-01,Arizona,BYD,Electric,Sedan,1795,45000-55000,60,35.0,0.12
2022-07-01,Arizona,Nissan,Electric,Hatchback,1154,35000-45000,40,25.0,0.08
2022-07-01,Arizona,Hyundai,Electric,SUV,897,40000-50000,64,30.0,0.06
2022-07-01,Arizona,Ford,Electric,Truck,769,55000-65000,98,40.0,0.05
2022-07-01,Arizona,Volkswagen,Electric,SUV,641,45000-55000,77,35.0,0.04
2022-07-01,Arizona,Kia,Electric,SUV,513,38000-48000,64,30.0,0.04
2022-07-01,Arizona,Chevrolet,Electric,SUV,384,40000-50000,65,30.0,0.03
2022-07-01,Arizona,Audi,Electric,SUV,256,65000-75000,95,40.0,0.02
2022-07-01,Arizona,Rivian,Electric,Truck,256,70000-80000,135,50.0,0.02
2022-07-01,Arizona,Mercedes,Electric,Sedan,128,75000-85000,90,35.0,0.01
2022-08-01,California,Tesla,Electric,Sedan,17040,75000-85000,75,45.0,0.28
2022-08-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-08-01,California,BYD,Electric,Sedan,9133,45000-55000,60,35.0,0.15
2022-08-01,California,Nissan,Electric,Hatchback,6134,35000-45000,40,25.0,0.1
2022-08-01,California,Ford,Electric,Truck,4362,55000-65000,98,40.0,0.07
2022-08-01,California,Volkswagen,Electric,SUV,3817,45000-55000,77,35.0,0.06
2022-08-01,California,Hyundai,Electric,SUV,3271,40000-50000,64,30.0,0.05
2022-08-01,California,Kia,Electric,SUV,2862,38000-48000,64,30.0,0.05
2022-08-01,California,Audi,Electric,SUV,2453,65000-75000,95,40.0,0.04
2022-08-01,California,Mercedes,Electric,Sedan,2044,75000-85000,90,35.0,0.03
2022-08-01,New York,Tesla,Electric,Sedan,12132,75000-85000,75,45.0,0.25
2022-08-01,New York,Ford,Electric,Truck,2862,55000-65000,98,40.0,0.06
2022-08-01,New York,Nissan,Electric,Hatchback,2453,35000-45000,40,25.0,0.05
2022-08-01,New York,Hyundai,Electric,SUV,2181,40000-50000,64,30.0,0.04
2022-08-01,New York,BYD,Electric,Sedan,1908,45000-55000,60,35.0,0.04
2022-08-01,New York,Volkswagen,Electric,SUV,1635,45000-55000,77,35.0,0.03
2022-08-01,New York,Kia,Electric,SUV,1499,38000-48000,64,30.0,0.03
2022-08-01,New York,Audi,Electric,SUV,1226,65000-75000,95,40.0,0.03
2022-08-01,New York,Mercedes,Electric,Sedan,1090,75000-85000,90,35.0,0.02
2022-08-01,New York,Rivian,Electric,Truck,954,70000-80000,135,50.0,0.02
2022-08-01,Texas,Tesla,Electric,SUV,9133,85000-95000,100,60.0,0.22
2022-08-01,Texas,Ford,Electric,Truck,4634,55000-65000,98,40.0,0.11
2022-08-01,Texas,BYD,Electric,Sedan,3135,45000-55000,60,35.0,0.08
2022-08-01,Texas,Nissan,Electric,Hatchback,2453,35000-45000,40,25.0,0.06
2022-08-01,Texas,Hyundai,Electric,SUV,2181,40000-50000,64,30.0,0.05
2022-08-01,Texas,Volkswagen,Electric,SUV,1908,45000-55000,77,35.0,0.05
2022-08-01,Texas,Kia,Electric,SUV,1635,38000-48000,64,30.0,0.04
2022-08-01,Texas,Rivian,Electric,Truck,1499,70000-80000,135,50.0,0.04
2022-08-01,Texas,Chevrolet,Electric,SUV,1226,40000-50000,65,30.0,0.03
2022-08-01,Texas,Audi,Electric,SUV,1090,65000-75000,95,40.0,0.03
2022-08-01,Florida,Tesla,Electric,Sedan,7634,75000-85000,75,45.0,0.24
2022-08-01,Florida,BYD,Electric,Sedan,3817,45000-55000,60,35.0,0.12
2022-08-01,Florida,Nissan,Electric,Hatchback,2590,35000-45000,40,25.0,0.08
2022-08-01,Florida,Ford,Electric,Truck,1908,55000-65000,98,40.0,0.06
2022-08-01,Florida,Hyundai,Electric,SUV,1635,40000-50000,64,30.0,0.05
2022-08-01,Florida,Volkswagen,Electric,SUV,1363,45000-55000,77,35.0,0.04
2022-08-01,Florida,Kia,Electric,SUV,1226,38000-48000,64,30.0,0.04
2022-08-01,Florida,Chevrolet,Electric,SUV,954,40000-50000,65,30.0,0.03
2022-08-01,Florida,Audi,Electric,SUV,817,65000-75000,95,40.0,0.03
2022-08-01,Florida,Mercedes,Electric,Sedan,681,75000-85000,90,35.0,0.02
2022-08-01,Washington,Tesla,Electric,SUV,4634,85000-95000,100,60.0,0.26
2022-08-01,Washington,BYD,Electric,Sedan,2317,45000-55000,60,35.0,0.13
2022-08-01,Washington,Nissan,Electric,Hatchback,1499,35000-45000,40,25.0,0.08
2022-08-01,Washington,Hyundai,Electric,SUV,1226,40000-50000,64,30.0,0.07
2022-08-01,Washington,Volkswagen,Electric,SUV,1090,45000-55000,77,35.0,0.06
2022-08-01,Washington,Ford,Electric,Truck,954,55000-65000,98,40.0,0.05
2022-08-01,Washington,Kia,Electric,SUV,817,38000-48000,64,30.0,0.05
2022-08-01,Washington,Audi,Electric,SUV,681,65000-75000,95,40.0,0.04
2022-08-01,Washington,Chevrolet,Electric,SUV,545,40000-50000,65,30.0,0.03
2022-08-01,Washington,Rivian,Electric,Truck,408,70000-80000,135,50.0,0.02
2022-08-01,Washington,Mercedes,Electric,Sedan,272,75000-85000,90,35.0,0.02
2022-08-01,Arizona,Tesla,Electric,Sedan,3817,75000-85000,75,45.0,0.25
2022-08-01,Arizona,BYD,Electric,Sedan,1908,45000-55000,60,35.0,0.12
2022-08-01,Arizona,Nissan,Electric,Hatchback,1226,35000-45000,40,25.0,0.08
2022-08-01,Arizona,Hyundai,Electric,SUV,954,40000-50000,64,30.0,0.06
2022-08-01,Arizona,Ford,Electric,Truck,817,55000-65000,98,40.0,0.05
2022-08-01,Arizona,Volkswagen,Electric,SUV,681,45000-55000,77,35.0,0.04
2022-08-01,Arizona,Kia,Electric,SUV,545,38000-48000,64,30.0,0.04
2022-08-01,Arizona,Chevrolet,Electric,SUV,408,40000-50000,65,30.0,0.03
2022-08-01,Arizona,Audi,Electric,SUV,272,65000-75000,95,40.0,0.02
2022-08-01,Arizona,Rivian,Electric,Truck,272,70000-80000,135,50.0,0.02
2022-08-01,Arizona,Mercedes,Electric,Sedan,136,75000-85000,90,35.0,0.01
2022-09-01,California,Tesla,Electric,Sedan,17549,75000-85000,75,45.0,0.28
2022-09-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-09-01,California,BYD,Electric,Sedan,9406,45000-55000,60,35.0,0.15
2022-09-01,California,Nissan,Electric,Hatchback,6317,35000-45000,40,25.0,0.1
2022-09-01,California,Ford,Electric,Truck,4492,55000-65000,98,40.0,0.07
2022-09-01,California,Volkswagen,Electric,SUV,3931,45000-55000,77,35.0,0.06
2022-09-01,California,Hyundai,Electric,SUV,3369,40000-50000,64,30.0,0.05
2022-09-01,California,Kia,Electric,SUV,2948,38000-48000,64,30.0,0.05
2022-09-01,California,Audi,Electric,SUV,2527,65000-75000,95,40.0,0.04
2022-09-01,California,Mercedes,Electric,Sedan,2105,75000-85000,90,35.0,0.03
2022-09-01,New York,Tesla,Electric,Sedan,12495,75000-85000,75,45.0,0.25
2022-09-01,New York,Ford,Electric,Truck,2948,55000-65000,98,40.0,0.06
2022-09-01,New York,Nissan,Electric,Hatchback,2527,35000-45000,40,25.0,0.05
2022-09-01,New York,Hyundai,Electric,SUV,2246,40000-50000,64,30.0,0.04
2022-09-01,New York,BYD,Electric,Sedan,1965,45000-55000,60,35.0,0.04
2022-09-01,New York,Volkswagen,Electric,SUV,1684,45000-55000,77,35.0,0.03
2022-09-01,New York,Kia,Electric,SUV,1544,38000-48000,64,30.0,0.03
2022-09-01,New York,Audi,Electric,SUV,1263,65000-75000,95,40.0,0.03
2022-09-01,New York,Mercedes,Electric,Sedan,1123,75000-85000,90,35.0,0.02
2022-09-01,New York,Rivian,Electric,Truck,982,70000-80000,135,50.0,0.02
2022-09-01,Texas,Tesla,Electric,SUV,9406,85000-95000,100,60.0,0.22
2022-09-01,Texas,Ford,Electric,Truck,4773,55000-65000,98,40.0,0.11
2022-09-01,Texas,BYD,Electric,Sedan,3229,45000-55000,60,35.0,0.08
2022-09-01,Texas,Nissan,Electric,Hatchback,2527,35000-45000,40,25.0,0.06
2022-09-01,Texas,Hyundai,Electric,SUV,2246,40000-50000,64,30.0,0.05
2022-09-01,Texas,Volkswagen,Electric,SUV,1965,45000-55000,77,35.0,0.05
2022-09-01,Texas,Kia,Electric,SUV,1684,38000-48000,64,30.0,0.04
2022-09-01,Texas,Rivian,Electric,Truck,1544,70000-80000,135,50.0,0.04
2022-09-01,Texas,Chevrolet,Electric,SUV,1263,40000-50000,65,30.0,0.03
2022-09-01,Texas,Audi,Electric,SUV,1123,65000-75000,95,40.0,0.03
2022-09-01,Florida,Tesla,Electric,Sedan,7862,75000-85000,75,45.0,0.24
2022-09-01,Florida,BYD,Electric,Sedan,3931,45000-55000,60,35.0,0.12
2022-09-01,Florida,Nissan,Electric,Hatchback,2667,35000-45000,40,25.0,0.08
2022-09-01,Florida,Ford,Electric,Truck,1965,55000-65000,98,40.0,0.06
2022-09-01,Florida,Hyundai,Electric,SUV,1684,40000-50000,64,30.0,0.05
2022-09-01,Florida,Volkswagen,Electric,SUV,1403,45000-55000,77,35.0,0.04
2022-09-01,Florida,Kia,Electric,SUV,1263,38000-48000,64,30.0,0.04
2022-09-01,Florida,Chevrolet,Electric,SUV,982,40000-50000,65,30.0,0.03
2022-09-01,Florida,Audi,Electric,SUV,842,65000-75000,95,40.0,0.03
2022-09-01,Florida,Mercedes,Electric,Sedan,701,75000-85000,90,35.0,0.02
2022-09-01,Washington,Tesla,Electric,SUV,4773,85000-95000,100,60.0,0.26
2022-09-01,Washington,BYD,Electric,Sedan,2386,45000-55000,60,35.0,0.13
2022-09-01,Washington,Nissan,Electric,Hatchback,1544,35000-45000,40,25.0,0.08
2022-09-01,Washington,Hyundai,Electric,SUV,1263,40000-50000,64,30.0,0.07
2022-09-01,Washington,Volkswagen,Electric,SUV,1123,45000-55000,77,35.0,0.06
2022-09-01,Washington,Ford,Electric,Truck,982,55000-65000,98,40.0,0.05
2022-09-01,Washington,Kia,Electric,SUV,842,38000-48000,64,30.0,0.05
2022-09-01,Washington,Audi,Electric,SUV,701,65000-75000,95,40.0,0.04
2022-09-01,Washington,Chevrolet,Electric,SUV,561,40000-50000,65,30.0,0.03
2022-09-01,Washington,Rivian,Electric,Truck,421,70000-80000,135,50.0,0.02
2022-09-01,Washington,Mercedes,Electric,Sedan,280,75000-85000,90,35.0,0.02
2022-09-01,Arizona,Tesla,Electric,Sedan,3931,75000-85000,75,45.0,0.25
2022-09-01,Arizona,BYD,Electric,Sedan,1965,45000-55000,60,35.0,0.12
2022-09-01,Arizona,Nissan,Electric,Hatchback,1263,35000-45000,40,25.0,0.08
2022-09-01,Arizona,Hyundai,Electric,SUV,982,40000-50000,64,30.0,0.06
2022-09-01,Arizona,Ford,Electric,Truck,842,55000-65000,98,40.0,0.05
2022-09-01,Arizona,Volkswagen,Electric,SUV,701,45000-55000,77,35.0,0.04
2022-09-01,Arizona,Kia,Electric,SUV,561,38000-48000,64,30.0,0.04
2022-09-01,Arizona,Chevrolet,Electric,SUV,421,40000-50000,65,30.0,0.03
2022-09-01,Arizona,Audi,Electric,SUV,280,65000-75000,95,40.0,0.02
2022-09-01,Arizona,Rivian,Electric,Truck,280,70000-80000,135,50.0,0.02
2022-09-01,Arizona,Mercedes,Electric,Sedan,140,75000-85000,90,35.0,0.01
2022-10-01,California,Tesla,Electric,Sedan,17998,75000-85000,75,45.0,0.28
2022-10-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-10-01,California,BYD,Electric,Sedan,9647,45000-55000,60,35.0,0.15
2022-10-01,California,Nissan,Electric,Hatchback,6479,35000-45000,40,25.0,0.1
2022-10-01,California,Ford,Electric,Truck,4607,55000-65000,98,40.0,0.07
2022-10-01,California,Volkswagen,Electric,SUV,4031,45000-55000,77,35.0,0.06
2022-10-01,California,Hyundai,Electric,SUV,3455,40000-50000,64,30.0,0.05
2022-10-01,California,Kia,Electric,SUV,3023,38000-48000,64,30.0,0.05
2022-10-01,California,Audi,Electric,SUV,2591,65000-75000,95,40.0,0.04
2022-10-01,California,Mercedes,Electric,Sedan,2159,75000-85000,90,35.0,0.03
2022-10-01,New York,Tesla,Electric,Sedan,12814,75000-85000,75,45.0,0.25
2022-10-01,New York,Ford,Electric,Truck,3023,55000-65000,98,40.0,0.06
2022-10-01,New York,Nissan,Electric,Hatchback,2591,35000-45000,40,25.0,0.05
2022-10-01,New York,Hyundai,Electric,SUV,2303,40000-50000,64,30.0,0.04
2022-10-01,New York,BYD,Electric,Sedan,2015,45000-55000,60,35.0,0.04
2022-10-01,New York,Volkswagen,Electric,SUV,1727,45000-55000,77,35.0,0.03
2022-10-01,New York,Kia,Electric,SUV,1583,38000-48000,64,30.0,0.03
2022-10-01,New York,Audi,Electric,SUV,1295,65000-75000,95,40.0,0.03
2022-10-01,New York,Mercedes,Electric,Sedan,1151,75000-85000,90,35.0,0.02
2022-10-01,New York,Rivian,Electric,Truck,1007,70000-80000,135,50.0,0.02
2022-10-01,Texas,Tesla,Electric,SUV,9647,85000-95000,100,60.0,0.22
2022-10-01,Texas,Ford,Electric,Truck,4895,55000-65000,98,40.0,0.11
2022-10-01,Texas,BYD,Electric,Sedan,3311,45000-55000,60,35.0,0.08
2022-10-01,Texas,Nissan,Electric,Hatchback,2591,35000-45000,40,25.0,0.06
2022-10-01,Texas,Hyundai,Electric,SUV,2303,40000-50000,64,30.0,0.05
2022-10-01,Texas,Volkswagen,Electric,SUV,2015,45000-55000,77,35.0,0.05
2022-10-01,Texas,Kia,Electric,SUV,1727,38000-48000,64,30.0,0.04
2022-10-01,Texas,Rivian,Electric,Truck,1583,70000-80000,135,50.0,0.04
2022-10-01,Texas,Chevrolet,Electric,SUV,1295,40000-50000,65,30.0,0.03
2022-10-01,Texas,Audi,Electric,SUV,1151,65000-75000,95,40.0,0.03
2022-10-01,Florida,Tesla,Electric,Sedan,8063,75000-85000,75,45.0,0.24
2022-10-01,Florida,BYD,Electric,Sedan,4031,45000-55000,60,35.0,0.12
2022-10-01,Florida,Nissan,Electric,Hatchback,2735,35000-45000,40,25.0,0.08
2022-10-01,Florida,Ford,Electric,Truck,2015,55000-65000,98,40.0,0.06
2022-10-01,Florida,Hyundai,Electric,SUV,1727,40000-50000,64,30.0,0.05
2022-10-01,Florida,Volkswagen,Electric,SUV,1439,45000-55000,77,35.0,0.04
2022-10-01,Florida,Kia,Electric,SUV,1295,38000-48000,64,30.0,0.04
2022-10-01,Florida,Chevrolet,Electric,SUV,1007,40000-50000,65,30.0,0.03
2022-10-01,Florida,Audi,Electric,SUV,863,65000-75000,95,40.0,0.03
2022-10-01,Florida,Mercedes,Electric,Sedan,719,75000-85000,90,35.0,0.02
2022-10-01,Washington,Tesla,Electric,SUV,4895,85000-95000,100,60.0,0.26
2022-10-01,Washington,BYD,Electric,Sedan,2447,45000-55000,60,35.0,0.13
2022-10-01,Washington,Nissan,Electric,Hatchback,1583,35000-45000,40,25.0,0.08
2022-10-01,Washington,Hyundai,Electric,SUV,1295,40000-50000,64,30.0,0.07
2022-10-01,Washington,Volkswagen,Electric,SUV,1151,45000-55000,77,35.0,0.06
2022-10-01,Washington,Ford,Electric,Truck,1007,55000-65000,98,40.0,0.05
2022-10-01,Washington,Kia,Electric,SUV,863,38000-48000,64,30.0,0.05
2022-10-01,Washington,Audi,Electric,SUV,719,65000-75000,95,40.0,0.04
2022-10-01,Washington,Chevrolet,Electric,SUV,575,40000-50000,65,30.0,0.03
2022-10-01,Washington,Rivian,Electric,Truck,431,70000-80000,135,50.0,0.02
2022-10-01,Washington,Mercedes,Electric,Sedan,287,75000-85000,90,35.0,0.02
2022-10-01,Arizona,Tesla,Electric,Sedan,4031,75000-85000,75,45.0,0.25
2022-10-01,Arizona,BYD,Electric,Sedan,2015,45000-55000,60,35.0,0.12
2022-10-01,Arizona,Nissan,Electric,Hatchback,1295,35000-45000,40,25.0,0.08
2022-10-01,Arizona,Hyundai,Electric,SUV,1007,40000-50000,64,30.0,0.06
2022-10-01,Arizona,Ford,Electric,Truck,863,55000-65000,98,40.0,0.05
2022-10-01,Arizona,Volkswagen,Electric,SUV,719,45000-55000,77,35.0,0.04
2022-10-01,Arizona,Kia,Electric,SUV,575,38000-48000,64,30.0,0.04
2022-10-01,Arizona,Chevrolet,Electric,SUV,431,40000-50000,65,30.0,0.03
2022-10-01,Arizona,Audi,Electric,SUV,287,65000-75000,95,40.0,0.02
2022-10-01,Arizona,Rivian,Electric,Truck,287,70000-80000,135,50.0,0.02
2022-10-01,Arizona,Mercedes,Electric,Sedan,143,75000-85000,90,35.0,0.01
2022-11-01,California,Tesla,Electric,Sedan,18865,75000-85000,75,45.0,0.28
2022-11-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-11-01,California,BYD,Electric,Sedan,10111,45000-55000,60,35.0,0.15
2022-11-01,California,Nissan,Electric,Hatchback,6791,35000-45000,40,25.0,0.1
2022-11-01,California,Ford,Electric,Truck,4829,55000-65000,98,40.0,0.07
2022-11-01,California,Volkswagen,Electric,SUV,4225,45000-55000,77,35.0,0.06
2022-11-01,California,Hyundai,Electric,SUV,3622,40000-50000,64,30.0,0.05
2022-11-01,California,Kia,Electric,SUV,3169,38000-48000,64,30.0,0.05
2022-11-01,California,Audi,Electric,SUV,2716,65000-75000,95,40.0,0.04
2022-11-01,California,Mercedes,Electric,Sedan,2263,75000-85000,90,35.0,0.03
2022-11-01,New York,Tesla,Electric,Sedan,13431,75000-85000,75,45.0,0.25
2022-11-01,New York,Ford,Electric,Truck,3169,55000-65000,98,40.0,0.06
2022-11-01,New York,Nissan,Electric,Hatchback,2716,35000-45000,40,25.0,0.05
2022-11-01,New York,Hyundai,Electric,SUV,2414,40000-50000,64,30.0,0.04
2022-11-01,New York,BYD,Electric,Sedan,2112,45000-55000,60,35.0,0.04
2022-11-01,New York,Volkswagen,Electric,SUV,1811,45000-55000,77,35.0,0.03
2022-11-01,New York,Kia,Electric,SUV,1660,38000-48000,64,30.0,0.03
2022-11-01,New York,Audi,Electric,SUV,1358,65000-75000,95,40.0,0.03
2022-11-01,New York,Mercedes,Electric,Sedan,1207,75000-85000,90,35.0,0.02
2022-11-01,New York,Rivian,Electric,Truck,1056,70000-80000,135,50.0,0.02
2022-11-01,Texas,Tesla,Electric,SUV,10111,85000-95000,100,60.0,0.22
2022-11-01,Texas,Ford,Electric,Truck,5131,55000-65000,98,40.0,0.11
2022-11-01,Texas,BYD,Electric,Sedan,3471,45000-55000,60,35.0,0.08
2022-11-01,Texas,Nissan,Electric,Hatchback,2716,35000-45000,40,25.0,0.06
2022-11-01,Texas,Hyundai,Electric,SUV,2414,40000-50000,64,30.0,0.05
2022-11-01,Texas,Volkswagen,Electric,SUV,2112,45000-55000,77,35.0,0.05
2022-11-01,Texas,Kia,Electric,SUV,1811,38000-48000,64,30.0,0.04
2022-11-01,Texas,Rivian,Electric,Truck,1660,70000-80000,135,50.0,0.04
2022-11-01,Texas,Chevrolet,Electric,SUV,1358,40000-50000,65,30.0,0.03
2022-11-01,Texas,Audi,Electric,SUV,1207,65000-75000,95,40.0,0.03
